Date,Tournament,Surface,Rd,Rk,vRk,meta_info,Score,Observed Player Name,Opponent Player Name,Observed Player W/L,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
24‑Apr‑2017,Barcelona,Clay,R32,5,69,(3)Nadal d. Rogerio Dutra Silva [BRA],6-1 6-2,Rafael Nadal,Rogerio Dutra Silva,W,,1.89,4.5%,2.3%,56.8%,68.0%,68.4%,1/2,1:14
17‑Apr‑2017,Monte Carlo Masters,Clay,F,7,24,(4)Nadal d. (15)Albert Ramos [ESP],6-1 6-3,Rafael Nadal,Albert Ramos,W,(ch),2.28,12.2%,2.4%,75.6%,80.6%,70.0%,0/0,1:16
17‑Apr‑2017,Monte Carlo Masters,Clay,SF,7,13,(4)Nadal d. (10)David Goffin [BEL],6-3 6-1,Rafael Nadal,David Goffin,W,(ch),1.97,9.5%,0.0%,66.7%,67.9%,85.7%,3/4,1:29
17‑Apr‑2017,Monte Carlo Masters,Clay,QF,7,41,(4)Nadal d. Diego Schwartzman [ARG],6-4 6-4,Rafael Nadal,Diego Schwartzman,W,(ch),1.15,3.4%,1.7%,67.2%,56.4%,47.4%,2/6,1:39
17‑Apr‑2017,Monte Carlo Masters,Clay,R16,7,20,(4)Nadal d. (14)Alexander Zverev [GER],6-1 6-1,Rafael Nadal,Alexander Zverev,W,(ch),2.72,2.9%,5.7%,57.1%,80.0%,80.0%,0/0,1:08
17‑Apr‑2017,Monte Carlo Masters,Clay,R32,7,45,(4)Nadal d. Kyle Edmund [GBR],6-0 5-7 6-3,Rafael Nadal,Kyle Edmund,W,(ch),1.24,1.4%,4.1%,65.8%,66.7%,44.0%,3/7,2:18
20‑Mar‑2017,Miami Masters,Hard,F,7,6,(4)Roger Federer [SUI] d. (5)Nadal,6-3 6-4,Rafael Nadal,Roger Federer,L,(ch),0.69,6.2%,1.5%,63.1%,65.9%,50.0%,7/9,1:34
20‑Mar‑2017,Miami Masters,Hard,SF,7,40,(5)Nadal d. Fabio Fognini [ITA],6-1 7-5,Rafael Nadal,Fabio Fognini,W,(ch),2.56,12.0%,0.0%,70.0%,82.9%,80.0%,0/0,1:30
20‑Mar‑2017,Miami Masters,Hard,QF,7,17,(5)Nadal d. (13)Jack Sock [USA],6-2 6-3,Rafael Nadal,Jack Sock,W,,1.33,3.3%,1.6%,68.9%,71.4%,52.6%,6/7,1:23
20‑Mar‑2017,Miami Masters,Hard,R16,7,55,(5)Nadal d. Nicolas Mahut [FRA],6-4 7-6(4),Rafael Nadal,Nicolas Mahut,W,(ch),1.69,3.3%,3.3%,63.3%,92.1%,59.1%,0/0,1:35
20‑Mar‑2017,Miami Masters,Hard,R32,7,31,(5)Nadal d. (26)Philipp Kohlschreiber [GER],0-6 6-2 6-3,Rafael Nadal,Philipp Kohlschreiber,W,(ch),1.52,0.0%,0.0%,79.7%,76.6%,58.3%,0/3,1:38
20‑Mar‑2017,Miami Masters,Hard,R64,7,83,(5)Nadal d. Dudi Sela [ISR],6-3 6-4,Rafael Nadal,Dudi Sela,W,(ch),1.69,5.4%,0.0%,71.4%,82.5%,62.5%,2/2,1:21
6‑Mar‑2017,Indian Wells Masters,Hard,R16,6,10,(9)Roger Federer [SUI] d. (5)Nadal,6-2 6-3,Rafael Nadal,Roger Federer,L,(ch),0.57,3.7%,0.0%,59.3%,56.3%,59.1%,1/5,1:08
6‑Mar‑2017,Indian Wells Masters,Hard,R32,6,29,(5)Nadal d. (26)Fernando Verdasco [ESP],6-3 7-5,Rafael Nadal,Fernando Verdasco,W,,1.49,1.8%,1.8%,73.2%,80.5%,53.3%,0/1,1:29
6‑Mar‑2017,Indian Wells Masters,Hard,R64,6,145,(5)Nadal d. Guido Pella [ARG],6-3 6-2,Rafael Nadal,Guido Pella,W,(ch),1.47,3.7%,1.9%,63.0%,70.6%,50.0%,6/8,1:21
27‑Feb‑2017,Acapulco,Hard,F,6,40,Sam Querrey [USA] d. (2)Nadal,6-3 7-6(3),Rafael Nadal,Sam Querrey,L,(ch),0.81,1.6%,3.3%,68.9%,71.4%,63.2%,1/2,1:34
27‑Feb‑2017,Acapulco,Hard,SF,6,8,(2)Nadal d. (3)Marin Cilic [CRO],6-1 6-2,Rafael Nadal,Marin Cilic,W,(ch),1.53,5.3%,0.0%,70.2%,67.5%,64.7%,7/7,1:24
27‑Feb‑2017,Acapulco,Hard,QF,6,86,(2)Nadal d. (Q)Yoshihito Nishioka [JPN],7-6(2) 6-3,Rafael Nadal,Yoshihito Nishioka,W,(ch),1.26,7.1%,5.7%,60.0%,81.0%,46.4%,2/4,1:57
27‑Feb‑2017,Acapulco,Hard,R16,6,38,(2)Nadal d. Paolo Lorenzi [ITA],6-1 6-1,Rafael Nadal,Paolo Lorenzi,W,(ch),2.84,5.7%,2.9%,74.3%,76.9%,88.9%,0/0,1:06
27‑Feb‑2017,Acapulco,Hard,R32,6,30,(2)Nadal d. Mischa Zverev [GER],6-4 6-3,Rafael Nadal,Mischa Zverev,W,(ch),1.35,1.6%,4.8%,71.0%,79.5%,55.6%,1/1,1:17
16‑Jan‑2017,Australian Open,Hard,F,9,17,(17)Roger Federer [SUI] d. (9)Nadal,6-4 3-6 6-1 3-6 6-3,Rafael Nadal,Roger Federer,L,(ch),0.87,2.6%,2.0%,72.8%,62.7%,56.1%,14/20,3:37
16‑Jan‑2017,Australian Open,Hard,SF,9,15,(9)Nadal d. (15)Grigor Dimitrov [BUL],6-3 5-7 7-6(5) 6-7(4) 6-4,Rafael Nadal,Grigor Dimitrov,W,(ch),1.05,4.3%,1.6%,73.4%,68.9%,55.1%,12/16,4:56
16‑Jan‑2017,Australian Open,Hard,QF,9,3,(9)Nadal d. (3)Milos Raonic [CAN],6-4 7-6(7) 6-4,Rafael Nadal,Milos Raonic,W,(ch),1.42,3.8%,3.8%,72.4%,82.9%,51.7%,4/4,2:44
16‑Jan‑2017,Australian Open,Hard,R16,9,6,(9)Nadal d. (6)Gael Monfils [FRA],6-3 6-3 4-6 6-4,Rafael Nadal,Gael Monfils,W,,1.40,2.0%,1.0%,73.3%,71.6%,63.0%,3/6,2:55
16‑Jan‑2017,Australian Open,Hard,R32,9,24,(9)Nadal d. (24)Alexander Zverev [GER],4-6 6-3 6-7(5) 6-3 6-2,Rafael Nadal,Alexander Zverev,W,(ch),1.32,7.3%,2.7%,75.3%,72.6%,62.2%,5/7,4:05
16‑Jan‑2017,Australian Open,Hard,R64,9,36,(9)Nadal d. Marcos Baghdatis [CYP],6-3 6-1 6-3,Rafael Nadal,Marcos Baghdatis,W,,1.67,6.3%,0.0%,80.0%,71.9%,62.5%,4/5,2:12
16‑Jan‑2017,Australian Open,Hard,R128,9,49,(9)Nadal d. Florian Mayer [GER],6-3 6-4 6-4,Rafael Nadal,Florian Mayer,W,,1.82,7.9%,0.0%,69.7%,77.4%,82.6%,0/0,2:04
2‑Jan‑2017,Brisbane,Hard,QF,9,3,(1)Milos Raonic [CAN] d. (5)Nadal,4-6 6-3 6-4,Rafael Nadal,Milos Raonic,L,,0.87,4.8%,0.0%,72.6%,63.9%,60.9%,2/4,2:20
2‑Jan‑2017,Brisbane,Hard,R16,9,51,(5)Nadal d. Mischa Zverev [GER],6-1 6-1,Rafael Nadal,Mischa Zverev,W,,2.75,2.6%,5.3%,47.4%,83.3%,75.0%,2/2,0:55
2‑Jan‑2017,Brisbane,Hard,R32,9,62,(5)Nadal d. Alexandr Dolgopolov [UKR],6-3 6-3,Rafael Nadal,Alexandr Dolgopolov,W,,1.59,3.8%,1.9%,69.2%,72.2%,62.5%,2/3,1:14
10‑Oct‑2016,Shanghai Masters,Hard,R32,5,31,Viktor Troicki [SRB] d. (4)Nadal,6-3 7-6(3),Rafael Nadal,Viktor Troicki,L,,0.61,1.4%,0.0%,70.8%,58.8%,71.4%,3/5,1:34
3‑Oct‑2016,Beijing,Hard,QF,4,20,Grigor Dimitrov [BUL] d. (2)Nadal,6-2 6-4,Rafael Nadal,Grigor Dimitrov,L,,0.73,0.0%,3.1%,73.8%,52.1%,41.2%,10/15,1:33
3‑Oct‑2016,Beijing,Hard,R16,4,64,(2)Nadal d. (Q)Adrian Mannarino [FRA],6-1 7-6(6),Rafael Nadal,Adrian Mannarino,W,,1.33,8.1%,1.4%,60.8%,68.9%,62.1%,2/3,1:51
3‑Oct‑2016,Beijing,Hard,R32,4,39,(2)Nadal d. Paolo Lorenzi [ITA],6-1 6-1,Rafael Nadal,Paolo Lorenzi,W,,2.27,11.9%,4.8%,57.1%,79.2%,66.7%,2/2,1:04
29‑Aug‑2016,US Open,Hard,R16,5,25,(24)Lucas Pouille [FRA] d. (4)Nadal,6-1 2-6 6-4 3-6 7-6(6),Rafael Nadal,Lucas Pouille,L,(ch),1.03,0.7%,2.7%,59.3%,71.9%,49.2%,9/14,4:06
29‑Aug‑2016,US Open,Hard,R32,5,47,(4)Nadal d. Andrey Kuznetsov [RUS],6-1 6-4 6-2,Rafael Nadal,Andrey Kuznetsov,W,,1.42,1.2%,7.3%,64.6%,71.7%,48.3%,4/6,1:58
29‑Aug‑2016,US Open,Hard,R64,5,87,(4)Nadal d. Andreas Seppi [ITA],6-0 7-5 6-1,Rafael Nadal,Andreas Seppi,W,,1.54,2.5%,2.5%,55.6%,66.7%,58.3%,5/7,2:17
29‑Aug‑2016,US Open,Hard,R128,5,107,(4)Nadal d. Denis Istomin [UZB],6-1 6-4 6-2,Rafael Nadal,Denis Istomin,W,,1.56,2.6%,3.9%,57.9%,81.8%,50.0%,4/5,2:06
15‑Aug‑2016,Cincinnati Masters,Hard,R16,5,49,Borna Coric [CRO] d. (3)Nadal,6-1 6-3,Rafael Nadal,Borna Coric,L,,0.51,2.0%,10.2%,67.3%,63.6%,12.5%,3/8,1:12
15‑Aug‑2016,Cincinnati Masters,Hard,R32,5,19,(3)Nadal d. Pablo Cuevas [URU],6-1 7-6(4),Rafael Nadal,Pablo Cuevas,W,,1.27,8.8%,1.5%,64.7%,77.3%,58.3%,5/5,1:30
8‑Aug‑2016,Rio Olympics,Hard,BR,5,7,(4)Kei Nishikori [JPN] d. (3)Nadal,6-2 6-7(1) 6-3,Rafael Nadal,Kei Nishikori,L,(ch),0.75,4.7%,0.9%,77.4%,59.8%,45.8%,8/13,2:49
8‑Aug‑2016,Rio Olympics,Hard,SF,5,141,Juan Martin Del Potro [ARG] d. (3)Nadal,5-7 6-4 7-6(5),Rafael Nadal,Juan Martin Del Potro,L,(ch),1.00,1.9%,1.0%,70.9%,68.5%,66.7%,6/9,3:08
8‑Aug‑2016,Rio Olympics,Hard,QF,5,54,(3)Nadal d. Thomaz Bellucci [BRA],2-6 6-4 6-2,Rafael Nadal,Thomaz Bellucci,W,,1.00,2.8%,0.0%,70.4%,68.0%,57.1%,1/4,2:01
8‑Aug‑2016,Rio Olympics,Hard,R16,5,31,(3)Nadal d. (15)Gilles Simon [FRA],7-6(5) 6-3,Rafael Nadal,Gilles Simon,W,,1.15,1.6%,3.1%,73.4%,72.3%,29.4%,3/6,2:02
8‑Aug‑2016,Rio Olympics,Hard,R32,5,71,(3)Nadal d. Andreas Seppi [ITA],6-3 6-3,Rafael Nadal,Andreas Seppi,W,,1.33,1.6%,8.2%,57.4%,85.7%,38.5%,2/2,1:48
8‑Aug‑2016,Rio Olympics,Hard,R64,5,44,(3)Nadal d. Federico Delbonis [ARG],6-2 6-1,Rafael Nadal,Federico Delbonis,W,,1.60,0.0%,2.0%,61.2%,80.0%,36.8%,4/5,1:26
23‑May‑2016,Roland Garros,Clay,R32,5,56,Marcel Granollers [ESP] d. (4)Nadal,W/O,Rafael Nadal,Marcel Granollers,L,,,,,,,,,
23‑May‑2016,Roland Garros,Clay,R64,5,99,(4)Nadal d. Facundo Bagnis [ARG],6-3 6-0 6-3,Rafael Nadal,Facundo Bagnis,W,,1.64,0.0%,2.8%,77.8%,69.6%,56.3%,7/9,1:44
23‑May‑2016,Roland Garros,Clay,R128,5,100,(4)Nadal d. Samuel Groth [AUS],6-1 6-1 6-1,Rafael Nadal,Samuel Groth,W,,5.29,2.2%,0.0%,84.4%,89.5%,85.7%,0/0,1:20
9‑May‑2016,Rome Masters,Clay,QF,5,1,(1)Novak Djokovic [SRB] d. (5)Nadal,7-5 7-6(4),Rafael Nadal,Novak Djokovic,L,(ch),0.91,2.2%,1.1%,82.6%,59.2%,68.8%,6/9,2:24
9‑May‑2016,Rome Masters,Clay,R16,5,20,(5)Nadal d. Nick Kyrgios [AUS],6-7(3) 6-2 6-4,Rafael Nadal,Nick Kyrgios,W,(ch),1.29,1.1%,4.3%,83.9%,70.5%,53.3%,3/4,2:39
9‑May‑2016,Rome Masters,Clay,R32,5,26,(5)Nadal d. Philipp Kohlschreiber [GER],6-3 6-3,Rafael Nadal,Philipp Kohlschreiber,W,,1.60,0.0%,0.0%,79.6%,71.8%,70.0%,1/2,1:23
2‑May‑2016,Madrid Masters,Clay,SF,5,2,(2)Andy Murray [GBR] d. (5)Nadal,7-5 6-4,Rafael Nadal,Andy Murray,L,(ch),0.94,1.6%,0.0%,80.6%,62.0%,33.3%,2/6,2:11
2‑May‑2016,Madrid Masters,Clay,QF,5,35,(5)Nadal d. Joao Sousa [POR],6-0 4-6 6-3,Rafael Nadal,Joao Sousa,W,,1.42,4.1%,0.0%,75.3%,72.7%,66.7%,2/3,2:05
2‑May‑2016,Madrid Masters,Clay,R16,5,37,(5)Nadal d. Sam Querrey [USA],6-4 6-2,Rafael Nadal,Sam Querrey,W,,1.30,2.0%,2.0%,76.5%,71.8%,41.7%,4/6,1:09
2‑May‑2016,Madrid Masters,Clay,R32,5,39,(5)Nadal d. Andrey Kuznetsov [RUS],6-3 6-3,Rafael Nadal,Andrey Kuznetsov,W,,3.44,9.8%,0.0%,80.5%,84.8%,100.0%,0/0,1:18
18‑Apr‑2016,Barcelona,Clay,F,5,6,(1)Nadal d. (2)Kei Nishikori [JPN],6-4 7-5,Rafael Nadal,Kei Nishikori,W,(ch),1.09,1.2%,1.2%,73.8%,59.7%,50.0%,10/13,2:04
18‑Apr‑2016,Barcelona,Clay,SF,5,27,(1)Nadal d. (10)Philipp Kohlschreiber [GER],6-3 6-3,Rafael Nadal,Philipp Kohlschreiber,W,,1.81,3.8%,0.0%,65.4%,82.4%,61.1%,1/1,1:32
18‑Apr‑2016,Barcelona,Clay,QF,5,31,(1)Nadal d. (12)Fabio Fognini [ITA],6-2 7-6(1),Rafael Nadal,Fabio Fognini,W,,1.32,3.1%,0.0%,80.0%,65.4%,46.2%,0/3,1:49
18‑Apr‑2016,Barcelona,Clay,R16,5,104,(1)Nadal d. (WC)Albert Montanes [ESP],6-2 6-2,Rafael Nadal,Albert Montanes,W,,1.84,6.7%,0.0%,71.1%,71.9%,69.2%,0/1,1:07
18‑Apr‑2016,Barcelona,Clay,R32,5,50,(1)Nadal d. Marcel Granollers [ESP],6-3 6-2,Rafael Nadal,Marcel Granollers,W,,1.56,0.0%,0.0%,68.5%,75.7%,52.9%,3/4,1:31
11‑Apr‑2016,Monte Carlo Masters,Clay,F,5,16,(5)Nadal d. (13)Gael Monfils [FRA],7-5 5-7 6-0,Rafael Nadal,Gael Monfils,W,(ch),1.24,1.1%,4.2%,70.5%,70.1%,28.6%,8/13,2:46
11‑Apr‑2016,Monte Carlo Masters,Clay,SF,5,2,(5)Nadal d. (2)Andy Murray [GBR],2-6 6-4 6-2,Rafael Nadal,Andy Murray,W,(ch),1.16,2.2%,2.2%,74.4%,64.2%,56.5%,8/11,2:43
11‑Apr‑2016,Monte Carlo Masters,Clay,QF,5,4,(5)Nadal d. (4)Stan Wawrinka [SUI],6-1 6-4,Rafael Nadal,Stan Wawrinka,W,,1.91,4.4%,2.2%,57.8%,84.6%,57.9%,0/1,1:17
11‑Apr‑2016,Monte Carlo Masters,Clay,R16,5,14,(5)Nadal d. (12)Dominic Thiem [AUT],7-5 6-3,Rafael Nadal,Dominic Thiem,W,(ch),1.19,3.8%,0.0%,73.4%,65.5%,57.1%,15/17,2:03
11‑Apr‑2016,Monte Carlo Masters,Clay,R32,5,60,(5)Nadal d. Aljaz Bedene [SLO],6-3 6-3,Rafael Nadal,Aljaz Bedene,W,(ch),1.44,3.8%,3.8%,67.9%,66.7%,52.9%,3/5,1:19
21‑Mar‑2016,Miami Masters,Hard,R64,5,94,Damir Dzumhur [BIH] d. (5)Nadal,2-6 6-4 3-0 RET,Rafael Nadal,Damir Dzumhur,L,,1.01,3.3%,3.3%,60.0%,61.1%,58.3%,0/4,1:50
7‑Mar‑2016,Indian Wells Masters,Hard,SF,5,1,(1)Novak Djokovic [SRB] d. (4)Nadal,7-6(5) 6-2,Rafael Nadal,Novak Djokovic,L,(ch),0.70,2.2%,0.0%,79.6%,54.1%,57.9%,9/12,1:58
7‑Mar‑2016,Indian Wells Masters,Hard,QF,5,6,(4)Nadal d. (5)Kei Nishikori [JPN],6-4 6-3,Rafael Nadal,Kei Nishikori,W,,1.20,2.9%,1.4%,88.6%,62.9%,50.0%,6/8,1:33
7‑Mar‑2016,Indian Wells Masters,Hard,R16,5,58,(4)Nadal d. Alexander Zverev [GER],6-7(8) 6-0 7-5,Rafael Nadal,Alexander Zverev,W,,1.31,2.1%,2.1%,71.9%,69.6%,51.9%,4/7,2:34
7‑Mar‑2016,Indian Wells Masters,Hard,R32,5,65,(4)Nadal d. Fernando Verdasco [ESP],6-0 7-6(9),Rafael Nadal,Fernando Verdasco,W,,1.43,3.0%,7.6%,68.2%,71.1%,47.6%,2/4,1:41
7‑Mar‑2016,Indian Wells Masters,Hard,R64,5,45,(4)Nadal d. Gilles Muller [LUX],6-2 2-6 6-4,Rafael Nadal,Gilles Muller,W,,1.08,1.1%,2.2%,75.3%,64.3%,56.5%,11/14,2:11
15‑Feb‑2016,Rio de Janeiro,Clay,SF,5,45,Pablo Cuevas [URU] d. (1)Nadal,6-7(6) 7-6(3) 6-4,Rafael Nadal,Pablo Cuevas,L,,0.78,2.3%,1.5%,63.1%,63.4%,56.3%,7/10,2:28
15‑Feb‑2016,Rio de Janeiro,Clay,QF,5,33,(1)Nadal d. Alexandr Dolgopolov [UKR],W/O,Rafael Nadal,Alexandr Dolgopolov,W,,,,,,,,,
15‑Feb‑2016,Rio de Janeiro,Clay,R16,5,53,(1)Nadal d. Nicolas Almagro [ESP],6-3 7-5,Rafael Nadal,Nicolas Almagro,W,,1.26,1.5%,4.4%,70.6%,70.8%,45.0%,6/8,1:40
15‑Feb‑2016,Rio de Janeiro,Clay,R32,5,66,(1)Nadal d. Pablo Carreno Busta [ESP],6-1 6-4,Rafael Nadal,Pablo Carreno Busta,W,,1.33,5.0%,0.0%,68.3%,58.5%,57.9%,1/3,1:20
8‑Feb‑2016,Buenos Aires,Clay,SF,5,19,(5)Dominic Thiem [AUT] d. (1)Nadal,6-4 4-6 7-6(4),Rafael Nadal,Dominic Thiem,L,(ch),0.96,1.9%,2.8%,70.1%,70.7%,46.9%,5/8,2:50
8‑Feb‑2016,Buenos Aires,Clay,QF,5,52,(1)Nadal d. Paolo Lorenzi [ITA],7-6(3) 6-2,Rafael Nadal,Paolo Lorenzi,W,,1.44,3.1%,1.5%,69.2%,73.3%,60.0%,3/4,1:51
8‑Feb‑2016,Buenos Aires,Clay,R16,5,55,(1)Nadal d. Juan Monaco [ARG],6-4 6-4,Rafael Nadal,Juan Monaco,W,,1.20,3.3%,3.3%,83.6%,62.7%,40.0%,3/6,1:38
18‑Jan‑2016,Australian Open,Hard,R128,5,45,Fernando Verdasco [ESP] d. (5)Nadal,7-6 4-6 3-6 7-6 6-2,Rafael Nadal,Fernando Verdasco,L,(ch),1.02,4.1%,3.5%,63.5%,69.4%,50.0%,10/15,4:41
4‑Jan‑2016,Doha,Hard,F,5,1,(1)Novak Djokovic [SRB] d. (2)Nadal,6-1 6-2,Rafael Nadal,Novak Djokovic,L,(ch),0.42,7.0%,2.3%,65.1%,50.0%,40.0%,3/7,1:13
4‑Jan‑2016,Doha,Hard,SF,5,94,(2)Nadal d. Illya Marchenko [UKR],6-3 6-4,Rafael Nadal,Illya Marchenko,W,(ch),1.64,11.3%,0.0%,69.8%,89.2%,50.0%,1/1,1:17
4‑Jan‑2016,Doha,Hard,QF,5,79,(2)Nadal d. Andrey Kuznetsov [RUS],6-3 5-7 6-4,Rafael Nadal,Andrey Kuznetsov,W,,1.01,3.5%,0.0%,65.1%,64.3%,50.0%,0/4,2:07
4‑Jan‑2016,Doha,Hard,R16,5,66,(2)Nadal d. Robin Haase [NED],6-3 6-2,Rafael Nadal,Robin Haase,W,(ch),1.77,1.9%,3.8%,73.6%,76.9%,64.3%,2/2,1:05
4‑Jan‑2016,Doha,Hard,R32,5,67,(2)Nadal d. Pablo Carreno Busta [ESP],6-7(5) 6-3 6-1,Rafael Nadal,Pablo Carreno Busta,W,,1.57,6.3%,1.3%,73.8%,74.6%,61.9%,1/2,2:00
15‑Nov‑2015,Tour Finals,Hard,SF,5,1,(1)Novak Djokovic [SRB] d. (5)Nadal,6-3 6-3,Rafael Nadal,Novak Djokovic,L,,0.52,5.7%,0.0%,69.8%,54.1%,68.8%,2/5,
15‑Nov‑2015,Tour Finals,Hard,RR,5,4,(5)Nadal d. (4)Stan Wawrinka [SUI],6-3 6-2,Rafael Nadal,Stan Wawrinka,W,,1.50,2.0%,2.0%,60.8%,74.2%,55.0%,2/3,
15‑Nov‑2015,Tour Finals,Hard,RR,5,2,(5)Nadal d. (2)Andy Murray [GBR],6-4 6-1,Rafael Nadal,Andy Murray,W,,1.48,1.9%,0.0%,50.9%,66.7%,61.5%,0/1,
15‑Nov‑2015,Tour Finals,Hard,RR,5,7,(5)Nadal d. (7)David Ferrer [ESP],6-7(2) 6-3 6-4,Rafael Nadal,David Ferrer,W,,1.26,1.1%,2.2%,63.4%,64.4%,67.6%,4/7,
2‑Nov‑2015,Paris Masters,Hard,QF,6,4,(4)Stan Wawrinka [SUI] d. (7)Nadal,7-6(8) 7-6(7),Rafael Nadal,Stan Wawrinka,L,,0.89,2.2%,2.2%,68.5%,66.7%,62.1%,3/5,
2‑Nov‑2015,Paris Masters,Hard,R16,6,12,(7)Nadal d. (11)Kevin Anderson [RSA],4-6 7-6(6) 6-2,Rafael Nadal,Kevin Anderson,W,(ch),1.18,6.3%,3.1%,69.8%,82.1%,55.2%,7/8,
2‑Nov‑2015,Paris Masters,Hard,R32,6,66,(7)Nadal d. (Q)Lukas Rosol [CZE],6-2 6-2,Rafael Nadal,Lukas Rosol,W,,3.08,10.3%,2.6%,64.1%,92.0%,71.4%,1/1,
26‑Oct‑2015,Basel,Hard,F,7,3,(1)Roger Federer [SUI] d. (3)Nadal,6-3 5-7 6-3,Rafael Nadal,Roger Federer,L,(ch),0.84,0.0%,3.3%,67.8%,65.6%,62.1%,4/7,2:03
26‑Oct‑2015,Basel,Hard,SF,7,11,(3)Nadal d. (5)Richard Gasquet [FRA],6-4 7-6(7),Rafael Nadal,Richard Gasquet,W,(ch),1.18,2.4%,3.7%,73.2%,71.7%,50.0%,6/8,
26‑Oct‑2015,Basel,Hard,QF,7,13,(3)Nadal d. (7)Marin Cilic [CRO],4-6 6-3 6-3,Rafael Nadal,Marin Cilic,W,,1.09,1.1%,3.4%,62.1%,72.2%,51.5%,4/6,
26‑Oct‑2015,Basel,Hard,R16,7,28,(3)Nadal d. Grigor Dimitrov [BUL],6-4 4-6 6-3,Rafael Nadal,Grigor Dimitrov,W,(ch),1.32,5.1%,2.5%,67.1%,71.7%,57.7%,2/6,
26‑Oct‑2015,Basel,Hard,R32,7,69,(3)Nadal d. Lukas Rosol [CZE],1-6 7-5 7-6(4),Rafael Nadal,Lukas Rosol,W,,0.96,4.4%,2.2%,61.1%,69.1%,57.1%,8/12,
11‑Oct‑2015,Shanghai Masters,Hard,SF,7,15,(16)Jo Wilfried Tsonga [FRA] d. (8)Nadal,6-4 0-6 7-5,Rafael Nadal,Jo Wilfried Tsonga,L,(ch),1.05,1.1%,1.1%,76.4%,70.6%,47.6%,8/10,
11‑Oct‑2015,Shanghai Masters,Hard,QF,7,4,(8)Nadal d. (4)Stan Wawrinka [SUI],6-2 6-1,Rafael Nadal,Stan Wawrinka,W,(ch),1.59,1.9%,3.8%,73.6%,76.9%,42.9%,1/1,
11‑Oct‑2015,Shanghai Masters,Hard,R16,7,9,(8)Nadal d. (9)Milos Raonic [CAN],6-3 7-6(3),Rafael Nadal,Milos Raonic,W,,1.40,6.2%,3.1%,73.8%,79.2%,70.6%,1/1,
11‑Oct‑2015,Shanghai Masters,Hard,R32,7,21,(8)Nadal d. Ivo Karlovic [CRO],7-5 6-7(4) 7-6(4),Rafael Nadal,Ivo Karlovic,W,,1.16,3.6%,1.8%,67.3%,78.4%,66.7%,3/4,
5‑Oct‑2015,Beijing,Hard,F,8,1,(1)Novak Djokovic [SRB] d. (3)Nadal,6-2 6-2,Rafael Nadal,Novak Djokovic,L,(ch),0.67,0.0%,2.1%,70.8%,55.9%,35.7%,1/5,1:31
5‑Oct‑2015,Beijing,Hard,SF,8,28,(3)Nadal d. Fabio Fognini [ITA],7-5 6-3,Rafael Nadal,Fabio Fognini,W,,1.21,4.1%,4.1%,74.0%,68.5%,47.4%,2/4,
5‑Oct‑2015,Beijing,Hard,QF,8,30,(3)Nadal d. Jack Sock [USA],3-6 6-4 6-3,Rafael Nadal,Jack Sock,W,,1.13,5.0%,3.8%,63.7%,76.5%,51.7%,4/6,
5‑Oct‑2015,Beijing,Hard,R16,8,44,(3)Nadal d. Vasek Pospisil [CAN],7-6(3) 6-4,Rafael Nadal,Vasek Pospisil,W,,1.25,0.0%,1.4%,70.8%,74.5%,71.4%,1/1,
5‑Oct‑2015,Beijing,Hard,R32,8,230,(3)Nadal d. (WC)Di Wu [CHN],6-4 6-4,Rafael Nadal,Di Wu,W,,1.32,8.3%,0.0%,56.3%,66.7%,47.6%,3/7,
18‑Sep‑2015,Davis Cup G1 PO: DEN vs ESP,Hard,RR,7,909,Nadal d. Mikael Torpegaard [DEN],6-4 6-3 6-2,Rafael Nadal,Mikael Torpegaard,W,,,,,,,,,
31‑Aug‑2015,US Open,Hard,R32,8,32,(32)Fabio Fognini [ITA] d. (8)Nadal,3-6 4-6 6-4 6-3 6-4,Rafael Nadal,Fabio Fognini,L,(ch),1.02,3.6%,1.4%,66.9%,67.7%,37.0%,7/16,
31‑Aug‑2015,US Open,Hard,R64,8,74,(8)Nadal d. Diego Schwartzman [ARG],7-6(5) 6-3 7-5,Rafael Nadal,Diego Schwartzman,W,(ch),1.46,8.3%,3.1%,67.7%,75.4%,51.6%,5/8,
31‑Aug‑2015,US Open,Hard,R128,8,33,(8)Nadal d. Borna Coric [CRO],6-3 6-2 4-6 6-4,Rafael Nadal,Borna Coric,W,,1.45,6.0%,4.0%,73.0%,84.9%,40.7%,0/2,
16‑Aug‑2015,Cincinnati Masters,Hard,R16,8,23,Feliciano Lopez [ESP] d. (8)Nadal,5-7 6-4 7-6(3),Rafael Nadal,Feliciano Lopez,L,,1.03,5.2%,4.2%,67.7%,75.4%,54.8%,3/6,
16‑Aug‑2015,Cincinnati Masters,Hard,R32,8,27,(8)Nadal d. Jeremy Chardy [FRA],6-3 6-4,Rafael Nadal,Jeremy Chardy,W,,1.14,4.1%,5.4%,66.2%,75.5%,56.0%,9/9,
10‑Aug‑2015,Canada Masters,Hard,QF,9,4,(4)Kei Nishikori [JPN] d. (7)Nadal,6-2 6-4,Rafael Nadal,Kei Nishikori,L,,0.75,7.4%,11.1%,55.6%,66.7%,37.5%,0/4,
10‑Aug‑2015,Canada Masters,Hard,R16,9,107,(7)Nadal d. (Q)Mikhail Youzhny [RUS],6-3 6-3,Rafael Nadal,Mikhail Youzhny,W,,1.32,3.2%,3.2%,73.0%,73.9%,47.1%,3/3,
